prams-mode,threads,index,model,time,result
Max,16,1,tiny-q5_1,2307,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Max,16,2,tiny-q5_1,3106,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Max,16,3,tiny-q5_1,2347,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Max,16,1,tiny-q8_0,2335,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Max,16,2,tiny-q8_0,2286,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Max,16,3,tiny-q8_0,2004,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Max,16,1,base-q5_1,2598,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Max,16,2,base-q5_1,4064,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Max,16,3,base-q5_1,4356,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Max,16,1,base-q8_0,2526,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Max,16,2,base-q8_0,2595,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Max,16,3,base-q8_0,3644,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Max,16,1,small-q5_1,5647,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Max,16,2,small-q5_1,5285,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Max,16,3,small-q5_1,5891,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Max,16,1,small-q8_0,4757,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Max,16,2,small-q8_0,4449,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Max,16,3,small-q8_0,4653,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Half,8,1,tiny-q5_1,670,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Half,8,2,tiny-q5_1,670,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Half,8,3,tiny-q5_1,672,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Half,8,1,tiny-q8_0,604,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Half,8,2,tiny-q8_0,632,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Half,8,3,tiny-q8_0,603,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Half,8,1,base-q5_1,1317,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Half,8,2,base-q5_1,1349,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Half,8,3,base-q5_1,1321,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Half,8,1,base-q8_0,1181,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Half,8,2,base-q8_0,1179,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Half,8,3,base-q8_0,1178,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Half,8,1,small-q5_1,4157,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Half,8,2,small-q5_1,4175,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Half,8,3,small-q5_1,4161,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Half,8,1,small-q8_0,3570,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Half,8,2,small-q8_0,3568,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Half,8,3,small-q8_0,3572,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Quarter,4,1,tiny-q5_1,879,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Quarter,4,2,tiny-q5_1,877,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Quarter,4,3,tiny-q5_1,881,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
Quarter,4,1,tiny-q8_0,773,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Quarter,4,2,tiny-q8_0,783,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Quarter,4,3,tiny-q8_0,782,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
Quarter,4,1,base-q5_1,1762,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Quarter,4,2,base-q5_1,1774,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Quarter,4,3,base-q5_1,1764,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
Quarter,4,1,base-q8_0,1553,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Quarter,4,2,base-q8_0,1562,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Quarter,4,3,base-q8_0,1575,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
Quarter,4,1,small-q5_1,5784,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Quarter,4,2,small-q5_1,5763,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Quarter,4,3,small-q5_1,5773,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Quarter,4,1,small-q8_0,4883,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Quarter,4,2,small-q8_0,4884,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
Quarter,4,3,small-q8_0,5022,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
