index,model,time,result
1,tiny-q5_1,8247,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
1,tiny-q8_0,4039,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
1,base-q5_1,4305,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
1,base-q8_0,3947,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
1,small-q5_1,8098,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
1,small-q8_0,5994,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
2,tiny-q5_1,3485,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
2,tiny-q8_0,1628,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
2,base-q5_1,3035,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
2,base-q8_0,2181,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
2,small-q5_1,6336,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
2,small-q8_0,5351,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
3,tiny-q5_1,2228,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
3,tiny-q8_0,2924,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
3,base-q5_1,1856,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
3,base-q8_0,2074,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
3,small-q5_1,5638,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
3,small-q8_0,5747,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
4,tiny-q5_1,2943,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
4,tiny-q8_0,3196,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
4,base-q5_1,3165,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
4,base-q8_0,1794,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
4,small-q5_1,6849,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
4,small-q8_0,10417,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
5,tiny-q5_1,3227,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
5,tiny-q8_0,2335,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
5,base-q5_1,3670,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
5,base-q8_0,1961,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
5,small-q5_1,7850,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
5,small-q8_0,6664,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
6,tiny-q5_1,6679,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
6,tiny-q8_0,2432,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
6,base-q5_1,3121,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
6,base-q8_0,1965,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
6,small-q5_1,5203,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
6,small-q8_0,4797,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
7,tiny-q5_1,1709,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
7,tiny-q8_0,1415,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
7,base-q5_1,2099,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
7,base-q8_0,2800,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
7,small-q5_1,5449,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
7,small-q8_0,4803,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
8,tiny-q5_1,1699,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
8,tiny-q8_0,1891,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
8,base-q5_1,2263,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
8,base-q8_0,2405,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
8,small-q5_1,5428,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
8,small-q8_0,4933,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
9,tiny-q5_1,3300,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
9,tiny-q8_0,1579,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
9,base-q5_1,2252,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
9,base-q8_0,1910,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
9,small-q5_1,6491,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
9,small-q8_0,4795,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
10,tiny-q5_1,1545,さて、えーと、今回も、あなたが集めていくださった情報の中から、特に興味深い方、知識の段編を一緒に降り下げていければなら多い。
10,tiny-q8_0,1562,さて、今回も、あなたが集めてくださった情報の中から、特に興味深い方、知識の段編を一緒に掘り下げていければならないと。
10,base-q5_1,2311,さて、今回もですね、あなたが集めてくださった情報の中から特に興味深い子、知識の断片を一緒に掘り下げていければなーと。
10,base-q8_0,2049,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い子、知識の断片を一緒に掘り下げていければなと。
10,small-q5_1,5703,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
10,small-q8_0,4493,さて、今回もですね、あなたが集めてくださった情報の中から、特に興味深い知識の断片を一緒に掘り下げていければなと。
